../yolo_models/hand-trained.onnx quantization quantization info,2026-03-04 17:15:44
quantization stage,time consumed(s),sub stage,time consumed(s)
pre process,1.36
,,calibration: collect data (onnx inference + numpy statistics),13.58
,,calibration: compute data,45.43
calibration (collect data + compute data),59.41
static quantization,9.02
post process(including finetuning),0.00
e2e,70.96941649999644

Node Name,Op Type,Activation,Weights,Bias
/model.6/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.6/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.6/m.1/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.6/m.1/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.6/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.7/act/Sigmoid,HardSigmoid,UINT8,,
/model.8/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.8/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.8/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.8/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.9/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.9/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.12/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.12/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.12/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.12/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.15/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.15/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.15/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.15/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.16/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.0/cv2.0.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.0/cv3.0.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv4.0/cv4.0.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.0/cv2.0.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.0/cv3.0.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv4.0/cv4.0.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.18/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.18/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.18/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.18/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.19/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.1/cv2.1.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.1/cv3.1.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv4.1/cv4.1.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.1/cv2.1.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.1/cv3.1.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv4.1/cv4.1.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.21/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.21/m.0/cv1/act/Sigmoid,HardSigmoid,UINT8,,
/model.21/m.0/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.21/cv2/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.2/cv2.2.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.2/cv3.2.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv4.2/cv4.2.0/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv2.2/cv2.2.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv3.2/cv3.2.1/act/Sigmoid,HardSigmoid,UINT8,,
/model.22/cv4.2/cv4.2.1/act/Sigmoid,HardSigmoid,UINT8,,

Op Type,Activation,Weights,Bias
Conv,UINT8(72),INT8(72),INT8(72)
Mul,UINT8(63),,
Slice,UINT8(16),,
Add,UINT8(6),,
Concat,UINT8(15),,
MaxPool,UINT8(3),,
Resize,UINT8(2),,
Reshape,UINT8(9),,
HardSigmoid,UINT8(63),,

